origin_id,northing,easting,population
E01035740,208262.8894,451042.6418,2374
E01035741,207556.5172,451088.0549,2199
E01035742,207214.2626,450814.3752,2178
E01035743,204836.3775,453586.1892,1562
E01035744,204551.8017,454199.2031,1421
E01028513,207891.4681,455368.0371,2618
E01028514,207810.3091,455787.4497,1581
E01028515,207597.2301,456264.652,1730
E01028516,207712.8484,455008.4089,2431
E01028517,202877.2922,456129.1052,1355
E01028518,203098.191,455675.8116,1599
E01028519,203114.1885,455201.8287,1761
E01028520,202609.9902,455800.9905,1706
E01028521,206497.3639,451452.783,9550
E01028522,205970.6039,451386.6611,3973
E01028523,206111.4981,454622.1355,1600
E01028524,206098.3002,455368.1061,1709
E01028525,205674.4366,455264.2047,2054
E01028526,206502.4355,453843.706,2131
E01028527,204193.5494,453571.179,1816
E01028528,204264.5736,454184.065,1623
E01028529,203849.3916,454536.3983,1763
E01028530,203693.9209,454285.0501,2107
E01028531,204614.2631,454592.6304,2012
E01028532,205090.4866,453678.9434,2910
E01028534,207207.1933,453784.5435,1229
E01028535,206865.2311,454490.8296,2144
E01028536,206647.0808,454468.6309,1444
E01028537,207319.5886,454348.0612,1835
E01028538,208229.039,453726.713,1789
E01028539,207928.9482,453318.2582,2073
E01028540,207142.7244,453180.7352,2276
E01028541,204712.6531,451548.3408,1378
E01028542,204219.2613,451881.706,1805
E01028543,205561.061,451165.1525,1180
E01028544,205254.3086,451371.6411,1150
E01028545,204974.2544,452663.3074,1820
E01028546,204543.4743,452830.0133,1873
E01028547,205059.9736,453157.5302,2251
E01028548,206221.4744,449774.0754,1969
E01028549,206087.6492,450272.0226,1466
E01028550,206978.8125,450589.1959,1392
E01028551,206620.6095,450662.6536,1662
E01028552,202709.277,454068.6113,2182
E01028553,202765.3148,453657.4459,1848
E01028554,203472.5793,453907.781,1553
E01028555,203284.3477,454304.9016,1624
E01028556,205136.165,455202.6977,2704
E01028557,204718.4759,455252.6095,2070
E01028558,204435.678,455045.1193,1729
E01028559,205595.7719,454925.5117,1869
E01028560,208254.5416,452505.1897,1853
E01028561,208154.1217,452818.6642,2002
E01028562,207715.825,452811.9691,1947
E01028563,207177.9206,452753.8473,1584
E01028565,207581.2099,450475.7253,1273
E01028567,202731.8914,454863.4838,1899
E01028568,202290.0139,455184.302,1495
E01028569,202275.3314,455842.1847,1589
E01028570,202043.7489,455531.3153,2087
E01028571,206723.3242,455609.879,1652
E01028572,207161.4488,456030.3161,1826
E01028573,206973.1705,454992.7821,1800
E01028574,207227.1023,455380.0959,1430
E01028575,203883.1533,453094.1841,1511
E01028576,203318.6501,453492.5143,1700
E01028577,203126.6409,453037.0579,2280
E01028578,203721.9361,453602.0178,1513
E01028579,205654.2427,453212.9265,1626
E01028580,205920.3814,452802.7683,1295
E01028581,205786.6067,453470.2525,1500
E01028582,206046.0261,452507.0742,1180
E01028584,208310.2313,450423.9523,2457
E01028586,205333.0897,452722.4138,1696
E01028587,205431.7546,452928.0005,1845
E01028588,205710.1364,452555.104,1733
E01028591,209276.1241,450901.6744,1297
E01028592,208955.9337,450604.1006,1682
E01028594,210394.161,450077.2704,1597
E01028595,209734.1649,448973.8313,1619
E01028596,209796.2757,449917.661,1435
E01028597,210405.0178,450688.3867,1548
E01032554,209620.9376,450683.3738,2221
E01032555,210008.8807,450786.4547,1937
E01035740,208262.8894,451042.6418,2486
E01035741,207556.5172,451088.0549,2194
E01035742,207214.2626,450814.3752,2181
E01035743,204836.3775,453586.1892,1612
E01035744,204551.8017,454199.2031,1453
E01028513,207891.4681,455368.0371,2645
E01028514,207810.3091,455787.4497,1608
E01028515,207597.2301,456264.652,1754
E01028516,207712.8484,455008.4089,2532
E01028517,202877.2922,456129.1052,1379
E01028518,203098.191,455675.8116,1592
E01028519,203114.1885,455201.8287,1770
E01028520,202609.9902,455800.9905,1665
E01028521,206497.3639,451452.783,9602
E01028522,205970.6039,451386.6611,4187
E01028523,206111.4981,454622.1355,1679
E01028524,206098.3002,455368.1061,1721
E01028525,205674.4366,455264.2047,2058
E01028526,206502.4355,453843.706,2197
E01028527,204193.5494,453571.179,1838
E01028528,204264.5736,454184.065,1638
E01028529,203849.3916,454536.3983,1838
E01028530,203693.9209,454285.0501,2130
E01028531,204614.2631,454592.6304,1976
E01028532,205090.4866,453678.9434,2978
E01028534,207207.1933,453784.5435,1261
E01028535,206865.2311,454490.8296,2262
E01028536,206647.0808,454468.6309,1454
E01028537,207319.5886,454348.0612,1789
E01028538,208229.039,453726.713,1776
E01028539,207928.9482,453318.2582,2204
E01028540,207142.7244,453180.7352,2273
E01028541,204712.6531,451548.3408,1380
E01028542,204219.2613,451881.706,1807
E01028543,205561.061,451165.1525,1194
E01028544,205254.3086,451371.6411,1122
E01028545,204974.2544,452663.3074,1803
E01028546,204543.4743,452830.0133,1891
E01028547,205059.9736,453157.5302,2350
E01028548,206221.4744,449774.0754,1979
E01028549,206087.6492,450272.0226,1381
E01028550,206978.8125,450589.1959,1401
E01028551,206620.6095,450662.6536,1735
E01028552,202709.277,454068.6113,2232
E01028553,202765.3148,453657.4459,2064
E01028554,203472.5793,453907.781,1502
E01028555,203284.3477,454304.9016,1617
E01028556,205136.165,455202.6977,2951
E01028557,204718.4759,455252.6095,2176
E01028558,204435.678,455045.1193,1708
E01028559,205595.7719,454925.5117,1947
E01028560,208254.5416,452505.1897,1882
E01028561,208154.1217,452818.6642,1997
E01028562,207715.825,452811.9691,1963
E01028563,207177.9206,452753.8473,1573
E01028565,207581.2099,450475.7253,1294
E01028567,202731.8914,454863.4838,1888
E01028568,202290.0139,455184.302,1465
E01028569,202275.3314,455842.1847,1598
E01028570,202043.7489,455531.3153,2077
E01028571,206723.3242,455609.879,1636
E01028572,207161.4488,456030.3161,1888
E01028573,206973.1705,454992.7821,1805
E01028574,207227.1023,455380.0959,1444
E01028575,203883.1533,453094.1841,1494
E01028576,203318.6501,453492.5143,1705
E01028577,203126.6409,453037.0579,2274
E01028578,203721.9361,453602.0178,1518
E01028579,205654.2427,453212.9265,1672
E01028580,205920.3814,452802.7683,1540
E01028581,205786.6067,453470.2525,1555
E01028582,206046.0261,452507.0742,1159
E01028584,208310.2313,450423.9523,2452
E01028586,205333.0897,452722.4138,1757
E01028587,205431.7546,452928.0005,1912
E01028588,205710.1364,452555.104,1816
E01028591,209276.1241,450901.6744,1291
E01028592,208955.9337,450604.1006,1726
E01028594,210394.161,450077.2704,1560
E01028595,209734.1649,448973.8313,1771
E01028596,209796.2757,449917.661,1432
E01028597,210405.0178,450688.3867,1527
E01032554,209620.9376,450683.3738,2288
E01032555,210008.8807,450786.4547,1918
E01035740,208262.8894,451042.6418,2597
E01035741,207556.5172,451088.0549,2281
E01035742,207214.2626,450814.3752,2267
E01035743,204836.3775,453586.1892,1615
E01035744,204551.8017,454199.2031,1417
E01028513,207891.4681,455368.0371,2748
E01028514,207810.3091,455787.4497,1607
E01028515,207597.2301,456264.652,1762
E01028516,207712.8484,455008.4089,2683
E01028517,202877.2922,456129.1052,1416
E01028518,203098.191,455675.8116,1681
E01028519,203114.1885,455201.8287,1804
E01028520,202609.9902,455800.9905,1670
E01028521,206497.3639,451452.783,9904
E01028522,205970.6039,451386.6611,4265
E01028523,206111.4981,454622.1355,1790
E01028524,206098.3002,455368.1061,1762
E01028525,205674.4366,455264.2047,2104
E01028526,206502.4355,453843.706,2260
E01028527,204193.5494,453571.179,1829
E01028528,204264.5736,454184.065,1681
E01028529,203849.3916,454536.3983,1841
E01028530,203693.9209,454285.0501,2152
E01028531,204614.2631,454592.6304,2198
E01028532,205090.4866,453678.9434,2997
E01028534,207207.1933,453784.5435,1202
E01028535,206865.2311,454490.8296,2199
E01028536,206647.0808,454468.6309,1435
E01028537,207319.5886,454348.0612,1711
E01028538,208229.039,453726.713,1855
E01028539,207928.9482,453318.2582,2115
E01028540,207142.7244,453180.7352,1849
E01028541,204712.6531,451548.3408,1389
E01028542,204219.2613,451881.706,1776
E01028543,205561.061,451165.1525,1195
E01028544,205254.3086,451371.6411,1139
E01028545,204974.2544,452663.3074,1778
E01028546,204543.4743,452830.0133,1865
E01028547,205059.9736,453157.5302,2400
E01028548,206221.4744,449774.0754,1959
E01028549,206087.6492,450272.0226,1356
E01028550,206978.8125,450589.1959,1414
E01028551,206620.6095,450662.6536,1799
E01028552,202709.277,454068.6113,2446
E01028553,202765.3148,453657.4459,2361
E01028554,203472.5793,453907.781,1512
E01028555,203284.3477,454304.9016,1601
E01028556,205136.165,455202.6977,2991
E01028557,204718.4759,455252.6095,2215
E01028558,204435.678,455045.1193,1704
E01028559,205595.7719,454925.5117,1968
E01028560,208254.5416,452505.1897,1869
E01028561,208154.1217,452818.6642,1961
E01028562,207715.825,452811.9691,1975
E01028563,207177.9206,452753.8473,1612
E01028565,207581.2099,450475.7253,1276
E01028567,202731.8914,454863.4838,1922
E01028568,202290.0139,455184.302,1449
E01028569,202275.3314,455842.1847,1540
E01028570,202043.7489,455531.3153,2125
E01028571,206723.3242,455609.879,1659
E01028572,207161.4488,456030.3161,1912
E01028573,206973.1705,454992.7821,1846
E01028574,207227.1023,455380.0959,1448
E01028575,203883.1533,453094.1841,1481
E01028576,203318.6501,453492.5143,1731
E01028577,203126.6409,453037.0579,2312
E01028578,203721.9361,453602.0178,1541
E01028579,205654.2427,453212.9265,1735
E01028580,205920.3814,452802.7683,1694
E01028581,205786.6067,453470.2525,1613
E01028582,206046.0261,452507.0742,1162
E01028584,208310.2313,450423.9523,2445
E01028586,205333.0897,452722.4138,1676
E01028587,205431.7546,452928.0005,1946
E01028588,205710.1364,452555.104,1874
E01028591,209276.1241,450901.6744,1306
E01028592,208955.9337,450604.1006,1750
E01028594,210394.161,450077.2704,1618
E01028595,209734.1649,448973.8313,1851
E01028596,209796.2757,449917.661,1450
E01028597,210405.0178,450688.3867,1577
E01032554,209620.9376,450683.3738,2323
E01032555,210008.8807,450786.4547,1903
E01035740,208262.8894,451042.6418,2668
E01035741,207556.5172,451088.0549,2375
E01035742,207214.2626,450814.3752,2352
E01035743,204836.3775,453586.1892,1650
E01035744,204551.8017,454199.2031,1426
E01028513,207891.4681,455368.0371,2732
E01028514,207810.3091,455787.4497,1558
E01028515,207597.2301,456264.652,1745
E01028516,207712.8484,455008.4089,2919
E01028517,202877.2922,456129.1052,1410
E01028518,203098.191,455675.8116,1686
E01028519,203114.1885,455201.8287,1840
E01028520,202609.9902,455800.9905,1729
E01028521,206497.3639,451452.783,9947
E01028522,205970.6039,451386.6611,4318
E01028523,206111.4981,454622.1355,1892
E01028524,206098.3002,455368.1061,1766
E01028525,205674.4366,455264.2047,2174
E01028526,206502.4355,453843.706,2219
E01028527,204193.5494,453571.179,1781
E01028528,204264.5736,454184.065,1714
E01028529,203849.3916,454536.3983,1869
E01028530,203693.9209,454285.0501,2172
E01028531,204614.2631,454592.6304,2307
E01028532,205090.4866,453678.9434,2949
E01028534,207207.1933,453784.5435,1182
E01028535,206865.2311,454490.8296,2134
E01028536,206647.0808,454468.6309,1392
E01028537,207319.5886,454348.0612,1673
E01028538,208229.039,453726.713,1836
E01028539,207928.9482,453318.2582,2113
E01028540,207142.7244,453180.7352,1763
E01028541,204712.6531,451548.3408,1360
E01028542,204219.2613,451881.706,1794
E01028543,205561.061,451165.1525,1161
E01028544,205254.3086,451371.6411,1095
E01028545,204974.2544,452663.3074,1716
E01028546,204543.4743,452830.0133,1898
E01028547,205059.9736,453157.5302,2389
E01028548,206221.4744,449774.0754,1960
E01028549,206087.6492,450272.0226,1332
E01028550,206978.8125,450589.1959,1398
E01028551,206620.6095,450662.6536,1742
E01028552,202709.277,454068.6113,2481
E01028553,202765.3148,453657.4459,2591
E01028554,203472.5793,453907.781,1528
E01028555,203284.3477,454304.9016,1602
E01028556,205136.165,455202.6977,2904
E01028557,204718.4759,455252.6095,2231
E01028558,204435.678,455045.1193,1699
E01028559,205595.7719,454925.5117,1949
E01028560,208254.5416,452505.1897,1870
E01028561,208154.1217,452818.6642,1953
E01028562,207715.825,452811.9691,1958
E01028563,207177.9206,452753.8473,1630
E01028565,207581.2099,450475.7253,1230
E01028567,202731.8914,454863.4838,1980
E01028568,202290.0139,455184.302,1439
E01028569,202275.3314,455842.1847,1534
E01028570,202043.7489,455531.3153,2081
E01028571,206723.3242,455609.879,1653
E01028572,207161.4488,456030.3161,1878
E01028573,206973.1705,454992.7821,1825
E01028574,207227.1023,455380.0959,1432
E01028575,203883.1533,453094.1841,1491
E01028576,203318.6501,453492.5143,1765
E01028577,203126.6409,453037.0579,2311
E01028578,203721.9361,453602.0178,1570
E01028579,205654.2427,453212.9265,1673
E01028580,205920.3814,452802.7683,1804
E01028581,205786.6067,453470.2525,1691
E01028582,206046.0261,452507.0742,1144
E01028584,208310.2313,450423.9523,2475
E01028586,205333.0897,452722.4138,1650
E01028587,205431.7546,452928.0005,1919
E01028588,205710.1364,452555.104,1968
E01028591,209276.1241,450901.6744,1307
E01028592,208955.9337,450604.1006,1828
E01028594,210394.161,450077.2704,1614
E01028595,209734.1649,448973.8313,1919
E01028596,209796.2757,449917.661,1425
E01028597,210405.0178,450688.3867,1575
E01032554,209620.9376,450683.3738,2375
E01032555,210008.8807,450786.4547,1911
E01035740,208262.8894,451042.6418,2741
E01035741,207556.5172,451088.0549,2394
E01035742,207214.2626,450814.3752,2311
E01035743,204836.3775,453586.1892,1652
E01035744,204551.8017,454199.2031,1408
OXFORD_NORTH,208000,451900,5000
